Truckstop Name,Address,City,State,Retail Price
WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,3.00733333
KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,3.28733333
PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,3.899
PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,3.899
LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,3.399
ACI TRUCK STOP,US-46,Columbia,NJ,3.079
SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,2.899
CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,2.919
PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,3.154
TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,3.959
TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,3.72566666
TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,3.51566666
Good 2 Go #709,US-50,Montrose,CO,3.424
OASIS TRAVEL PLAZA,US-13,Laurel,DE,3.229
DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,3.249
One9 #89,"I-75, EXIT 224",Ellenton,FL,3.439
DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,3.459
MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,3.499
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.269
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.339
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.429
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.289
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.399
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.299
Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,3.299
PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,3.474
CIRCLE K #4700095,US-41,Henderson,KY,3.609
THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,3.399
THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,3.349
THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,3.549
LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.589
LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.389
LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.449
SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,3.624
RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,3.59233333
CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,3.13233333
PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,3.859
PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,3.859
PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,3.23233333
FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,3.809
FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,3.43566666
Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,2.859
SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,3.719
COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,3.239
DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,3.23233333
KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,3.18566666
Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,3.099
PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,3.36733333
SINCLAIR,"I-76, EXIT 115",Atwood,CO,3.299
PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,3.80566666
PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,3.829
PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,3.799
MARATHON,SR-32,Sardinia                                ,OH,3.56566666
CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,3.41566666
NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,3.02566666
DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,2.999
PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,3.359
PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,3.41233333
LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,3.039
SAVE,US-41 & SR-10,Lake Village,IN,3.179
BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,2.98233333
Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,3.729
GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,3.499
LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,3.32566666
BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,3.899
PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,3.63566666
CASEYS #3956,I-94 EXIT 16,Bridgman,MI,3.559
CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,3.399
PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,3.299
PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,3.249
PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,3.439
PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,3.349
PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,3.559
CARLISLE PLAZA,US-41,Carlisle,IN,3.499
CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,3.399
LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,3.229
PETES #56,US-169 & CR-5000,Cherryvale,KS,3.23233333
LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,3.25566666
FL Roberts,"I-91, EXIT 4",Springfield,MA,3.599
QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,3.199
SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,3.46566666
FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,3.749
TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,3.469
7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,3.99066666
TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.769
TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.689
TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.699
TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.739
CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,3.31566666
WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,3.749
WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,3.799
GAS DEPOT,"I-94, EXIT 5",Hammond,IN,3.999
7-Eleven #41830,US-69 & US-135,Jacksonville,TX,2.91566666
Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,3.489
Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,3.719
PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,3.699
TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,3.429
FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,3.499
PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,3.30233333
E EXPRESS,"I-40, EXIT 166",Choctaw,OK,2.899
Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,3.299
WESTERN COOP,US-385 & SR-2,Alliance,NE,3.324
MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,3.26566666
THE COUNTRY OASIS,US-24,Woodburn                                ,IN,3.399
HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,3.399
TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,3.079
SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,3.26233333
LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,3.259
KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,3.299
GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,3.299
ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,2.97566666
LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,3.299
EDDIES CORNER,US-87 & US-191,Moore,MT,3.749
One9 #403,"I-75, EXIT 117",Heiskell,TN,2.999
PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,3.439
LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,3.649
LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,3.649
GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,3.179
CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,3.26566666
FASTBREAK,US-45 ALT,West Point,MS,3.059
PLAZA 30,US-30,Wanatah,IN,3.499
SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,3.389
SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,3.589
SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,3.449
SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,3.289
SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,3.20733333
TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,3.83066666
TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,3.459
PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,3.899
PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,3.879
PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,3.624
LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,3.779
FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,3.67066666
AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,4.399
AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,4.559
TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,2.964
TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,3.22566666
Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,3.50066666
JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,3.599
TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,4.359
KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,3.15233333
FLYING J #850,TCH-16,Edmonton,AB,4.39948962
FLYING J #850,TCH-16,Edmonton,AB,4.39625375
FLYING J #850,TCH-16,Edmonton,AB,4.40695023
FLYING J #850,TCH-16,Edmonton,AB,4.40630048
FLYING J #850,TCH-16,Edmonton,AB,4.39722401
FLYING J #850,TCH-16,Edmonton,AB,4.3981947
UNION 76,"I-5, EXIT 233 E",Albany,OR,3.379
ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,2.98566666
TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,3.42566666
FLYING J #869,HWY 2 SOUTH,Nanton,AB,4.39948962
FLYING J #869,HWY 2 SOUTH,Nanton,AB,4.59317483
FLYING J #869,HWY 2 SOUTH,Nanton,AB,4.59114784
FLYING J #869,HWY 2 SOUTH,Nanton,AB,4.60163996
FLYING J #869,HWY 2 SOUTH,Nanton,AB,4.59216111
FLYING J #869,HWY 2 SOUTH,Nanton,AB,4.60231851
PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,3.499
CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,3.549
TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,3.20566666
7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,4.499
FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,3.499
BP,US-63,Ottumwa,IA,3.399
Arco #364420,US-23,Greenup,KY,3.649
QUIKTRIP #4231,US-85,Evans,CO,3.17233333
AYERCO #26,US-61/US-136,Alexandria,MO,3.01566666
Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,3.489
SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,3.379
SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,3.499
SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,3.289
Ocean Fuel,US-301/SR-73,Sylvania,GA,3.499
PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,3.499
PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,3.291
CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,3.46566666
PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,3.12566666
CASEYS #4254,"I-40, EXIT 129",Conway,AR,3.03233333
CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,3.39233333
PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,3.959
PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,3.959
STINKER #85,"I-15, EXIT 93",Blackfoot,ID,3.53233333
CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,3.56566666
FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,3.449
FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,3.399
Union 76,US-441 & SR-100A,Lake City,FL,3.56233333
ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,3.259
SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,3.244
TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,3.60733333
PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,3.43233333
PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,3.399
CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,3.399
BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,3.399
KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,3.58233333
TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,3.799
TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,3.819
TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,3.879
TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,3.779
TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,3.769
SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,3.249
PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,3.399
PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,3.499
PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,3.599
CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,3.499
PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,3.959
PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,3.959
SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,3.759
CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,3.199
CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,3.599
One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,3.43566666
PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,3.869
PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,3.859
SHORT STOP #13,US-54,Emporia,KS,2.839
PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,3.20566666
PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,3.609
SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,3.384
ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,3.68233333
ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,3.599
PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,3.549
PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,3.349
PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,3.439
PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,3.399
D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,3.499
D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,3.099
ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,3.599
ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,3.559
KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,3.374
CASEYS #3658,SR-210,Pillager,MN,3.299
AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,3.01566666
Lamar Travel Plaza,US-71 & US-160,Lamar,MO,3.199
AYERCO #44,US-36 & US-24,Palmyra,MO,3.01566666
TEMP STOP #103,US-65,Sedalia,MO,3.199
SNAPPY MART #11,US-63 & SR-14,West Plains,MO,3.299
MAPCO #3009,US-72,Corinth,MS,3.154
DOUBLE QUICK #89,US-82/US-278,Greenville,MS,3.25566666
JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,2.97233333
LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,3.94733333
CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,3.08233333
SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,3.629
SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,3.199
PUMP & PANTRY #15,US-30,Grand Island,NE,3.30733333
BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,3.499
Delta,"I-80, EXIT 47B",Fairfield,NJ,3.20233333
BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,3.53233333
GLOBAL,SR-73,Palmyra,NJ,3.359
LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,3.59066666
7- ELEVEN #40507,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,3.98233333
PILOT TRAVEL CENTER #469,"I-77, EXIT 101 & SR-627",Canton,OH,3.62233333
FUEL MART #782,"I-75, EXIT 118",Lima                                    ,OH,3.08566666
TA LODI TRAVEL CENTER,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,3.739
SUNOCO,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,3.41566666
ONCUE EXPRESS #2045,"I-35, EXIT 203 & SR-15",Billings,OK,3.21566666
DOMINO FOOD AND FUEL #1,"I-40, EXIT 66",Clinton                                 ,OK,3.099
ONE9 #339,"I-74, EXIT 4 & SR-63",Covington,IN,3.26233333
SAC SHOP #507,"I-70, EXIT 12/161",Breezewood                              ,PA,4.099
GETTYSBURG TRAVEL PLAZA,US-15 & SR-394,Gettysburg,PA,3.899
CIRCLE K #4702408,"I-65, EXIT 168 & SR-38/SR-25",Lafayette,IN,3.43233333
KWIK FILL #259,"I-81, EXIT 57",Mechanicsburg                           ,PA,4.049
PILOT TRAVEL CENTERS #346,"I-20, EXIT 92 & US-601",Lugoff,SC,3.43233333
PILOT TRAVEL CENTERS #402,"I-80, EXIT 367",Cheyenne,WY,3.709
HOT SPOT #3005,US-221,Chesnee,SC,3.199
EXPRESS STOP,US-278/SR-101/SR-6 & SR-113,Rockmart,GA,3.319
PETRO FLORENCE,"I-95, EXIT 169",Florence,SC,3.32566666
CIRCLE K #2705370,"I-26, EXIT 15 & US-176",Inman,SC,3.099
CIRCLE K #2723254,"I-20, EXIT 55 & SR-6",Lexington,SC,3.199
CIRCLE K #2705348,US-1,Beech Island,SC,3.159
TA SPARTANBURG TRAVEL CENTER,"I-85, EXIT 63 & SR-290",Duncan,SC,3.43233333
ROADRUNNER MARKET #6019,"I-81, EXIT 36 NORTH",Greeneville                             ,TN,3.499
MAPCO #3538,"I-24, EXIT 174",Chattanooga,TN,2.899
CIRCLE K #4703941,"I-55, EXIT 5A",Memphis,TN,3.189
LOVES TRAVEL STOP #261,I-27 EXIT 116,Amarillo,TX,3.23233333
CircleK #4702365,"I-74, EXIT 112 & SR-9",Shelbyville,IN,3.509
YESWAY #1157,US-62,Brownfield,TX,2.99233333
SHELL,"I-35, EXIT 86 & SR-85",Dilley,TX,3.099
TOOT N TOTUM #107,US-287,Dumas,TX,3.03233333
STRIPES #40911,US-59 & SR-16,Freer,TX,3.099
SEIBERT TRAVEL PLAZA,"I-70, EXIT 405 & SR-59",Seibert,CO,3.499
CATTREZ,US-20 & SR-5,Irving,NY,2.899
CATTREZ,US-20 & SR-5,Irving,NY,2.999
I MART #108,"I-40, EXIT 108",Wildersville                            ,TN,3.099
KUM & GO #4110,"I-235, EXIT 11",Des Moines,IA,3.02733333
FLYING J TRAVEL PLAZA #924- TOWN PUMP,"I-15, EXIT 122 & I-90 MM220",Butte                                   ,MT,3.56566666
LOVES TRAVEL STOP #250,I-40 EXIT 60,Amarillo,TX,3.314
Stripes 7Fleet #42498,US-385 & CR-1910,Andrews,TX,3.369
ROAD RANGER #240,"I-80 & I-94, EXIT 15-A",Lake Station,IN,3.559
FLYING J #305,"I-40, EXIT 39",Jamestown,NM,3.44233333
7-ELEVEN #36156,"I-70 & SR-519, EXIT 25/333",Eighty Four,PA,4.999
ONVO TRAVEL PLAZA,"I-81, EXIT 10",Mc Graw,NY,3.439
ONVO TRAVEL PLAZA,"I-81, EXIT 10",Mc Graw,NY,3.459
CIRCLE K #2723387,US-98,Beaumont,MS,3.56566666
DONNAS TRAVEL PLAZA,"I-5, EXIT 202",Marysville,WA,4.559
TA BALTIMORE TRAVEL CENTER,"I-95, EXIT 57",Baltimore                               ,MD,4.759
GO MART FOOD STORE #33,US-33,Ripley                                  ,WV,3.499
CIRCLE K #2709337,"I-65, EXIT 262B",Birmingham                              ,AL,3.489
RACEWAY #6973,US-380 & SR-114/SR-101,Bridgeport,TX,2.78233333
SAPP BROS TRAVEL CENTER,"I-70 & I-270, EXIT 278",Commerce City,CO,3.389
PILOT TRAVEL CENTERS #60,"I-26, EXIT 159",Bowman                                  ,SC,3.43233333
PILOT TRAVEL CENTERS #266,"I-10, EXIT 139 & SR-292",Las Cruces                              ,NM,3.19066666
7-ELEVEN #36302,"I-35, EXIT 144",Von Ormy,TX,3.109
PILOT TRAVEL CENTERS #40,"I-94, EXIT 322",Oak Creek,WI,3.889
ALLSUPS CONVENIENCE STORE #2414,"I-20, EXIT 235",Roscoe,TX,2.929
SPEEDWAY #8310,US-6  & US-31,Plymouth,IN,3.609
SPEEDWAY #8305,US-41 & SR-312,Hammond,IN,3.76566666
ROAD RANGER #187,"I-55, EXIT 289",Chicago,IL,3.569
ROAD RANGER #187,"I-55, EXIT 289",Chicago,IL,3.599
CEFCO #3,US-77/US190/SR-36,Cameron,TX,2.989
CHEVRON,"I-20, EXIT 101 & SR-151",Calhoun,LA,3.159
BETTY BEAVERS TRUCKSTOP,"I-90, EXIT 28",Fultonville,NY,3.149
BETTY BEAVERS TRUCKSTOP,"I-90, EXIT 28",Fultonville,NY,3.189
Petro Stopping Center #54,"I-44, EXIT 4 & SR-3",Joplin,MO,3.449
LOVES TRAVEL STOP #412,"I-95, EXIT 77",Dunn,NC,3.699
HANA TRAVEL PLAZA,"I-40,  EXIT 77",Amarillo,TX,2.899
ALLENS FOOD MART280,US-280/US-231/SR-53/SR-38 & CR-8/CR-34,Sylacauga,AL,3.799
TOPPS FUEL STOPS,US-259/SR-49,Daingerfield,TX,3.109
TOOT N TOTUM #120,US-54 & S WESTERN AVE,Liberal,KS,3.01566666
HIGHWAY 96 FUEL STOP,US-96 & SR-62/FM-1004,Buna                                    ,TX,3.149
PWI #169,"I-35/US-77, EXIT 359 & CR-1304",Abbott,TX,2.899
M-46 AUTO TRUCK PLAZA,"US-131, EXIT 120 & SR-46",Howard City,MI,3.199
M-46 AUTO TRUCK PLAZA,"US-131, EXIT 120 & SR-46",Howard City,MI,3.599
M-46 AUTO TRUCK PLAZA,"US-131, EXIT 120 & SR-46",Howard City,MI,3.099
PILOT TRAVEL CENTERS #257,"I-20, EXIT 126 & FM-1788",Midland                                 ,TX,3.56566666
LOVES TRAVEL STOP #229,I-40 EXIT 96 & SR-207,Panhandle,TX,3.314
KENT KWIK #804,US-83,Perryton,TX,2.999
PILOT TRAVEL CENTERS #96,"SR- 60 & FL TURNPIKE, EXIT 193",Okeechobee,FL,3.719
PILOT TRAVEL CENTER #96,"SR- 60 & FL TURNPIKE, EXIT 193",Okeechobee,FL,3.699
CORNER FUEL CENTER,US-49,Hattiesburg,MS,3.299
PUMP N PANTRY #15,"I-20, EXIT 617 & US-59",Marshall,TX,2.899
Stripes #42457,US-67/US-277,San Angelo,TX,3.244
EXIT 76 AUTO TRUCK PLAZA,US-131,Byron Center,MI,3.499
FLYING J TRAVEL PLAZA #737,"I-10, EXIT 583",San Antonio                             ,TX,3.224
GO MART FOOD STORE #44,"I-79, EXIT 67 & US-19/SR-4",Sutton,WV,3.559
MR FUEL #278,"I-75/71, EXIT 175 & SR-338",Walton,KY,3.019
PETRO STOPPING CENTER #315,"I-40, EXIT 66",Kingman,AZ,3.899
PRI MART FUEL CENTER,"I-94, EXIT 29",Benton Harbor                           ,MI,3.799
PRI MART FUEL CENTER,"I-94, EXIT 29",Benton Harbor                           ,MI,3.499
JDS TRUCKSTOP,"US-12 & US-31, EXIT 3",Niles,MI,3.749
JDS TRUCKSTOP,"US-12 & US-31, EXIT 3",Niles,MI,3.849
